göçtür göç+NOUN+A3SG+PNON+NOM^DB+ADV+SINCE
göçmezce göç+VERB+NEG+AOR^DB+ADJ+ZERO^DB+ADJ+ASIF
göçmeyip göç+VERB+NEG^DB+ADV+AFTERDOINGSO
göçmeer göç+VERB+NEG+AOR^DB+ADJ+ZERO
göçmer göç+VERB+NEG+AOR^DB+ADJ+ZERO
göçmemiş göç+VERB+NEG+NARR^DB+ADJ+ZERO
göçmeyen göç+VERB+NEG^DB+ADJ+PRESPART
göçemeer göç+VERB^DB+VERB+ABLE+NEG+AOR^DB+ADJ+ZERO
göçemer göç+VERB^DB+VERB+ABLE+NEG+AOR^DB+ADJ+ZERO
göçüp göç+VERB+POS^DB+ADV+AFTERDOINGSO
göçeli göç+VERB+POS^DB+ADV+SINCEDOINGSO
göçtükçe göç+VERB+POS^DB+ADV+ASLONGAS
göçesi göç+VERB+POS^DB+ADJ+FEELLIKE
göçer göç+VERB+POS+AOR^DB+ADJ+ZERO
göçür göç+VERB+POS+AOR^DB+ADJ+ZERO
göçmüş göç+VERB+POS+NARR^DB+ADJ+ZERO
göçücü göç+VERB+POS^DB+ADJ+AGT
göçen göç+VERB+POS^DB+ADJ+PRESPART
göçsene göç+VERB+POS+DESR+URGE+A2SG
göçücüsü göç+VERB+POS^DB+NOUN+AGT^DB+ADJ+ALMOST
göçücücü göç+VERB+POS^DB+NOUN+AGT+A3SG+PNON+NOM^DB+ADJ+AGT
göçürmem göç+VERB^DB+VERB+CAUS+NEG+AOR+A1SG
göçürmez göç+VERB^DB+VERB+CAUS+NEG+AOR+A3SG
göçürmez göç+VERB^DB+VERB+CAUS+NEG+AOR^DB+ADJ+ZERO
göçülmem göç+VERB^DB+VERB+PASS+NEG+AOR+A1SG
göçülmez göç+VERB^DB+VERB+PASS+NEG+AOR+A3SG
göçülmez göç+VERB^DB+VERB+PASS+NEG+AOR^DB+ADJ+ZERO
göççüğü göç+NOUN+A3SG+PNON+NOM^DB+NOUN+DIM+A3SG+PNON+ACC
göççükçe göç+NOUN+A3SG+PNON+NOM^DB+NOUN+DIM+A3SG+PNON+EQU
göççükki göç+NOUN+A3SG+PNON+NOM^DB+NOUN+DIM+A3SG+PNON+NOM^DB+ADJ+REL
göççükkü göç+NOUN+A3SG+PNON+NOM^DB+NOUN+DIM+A3SG+PNON+NOM^DB+ADJ+REL
göçselce göç+NOUN+A3SG+PNON+NOM^DB+ADJ+RELATED^DB+ADV+LY
göçseldi göç+NOUN+A3SG+PNON+NOM^DB+ADJ+RELATED^DB+VERB+ZERO+PAST+A3SG
göçselse göç+NOUN+A3SG+PNON+NOM^DB+ADJ+RELATED^DB+VERB+ZERO+COND+A3SG
göçlüce göç+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH^DB+ADV+LY
göçlüydü göç+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH^DB+VERB+ZERO+PAST+A3SG
göçlüyse göç+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH^DB+VERB+ZERO+COND+A3SG
göçlüdür göç+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH^DB+VERB+ZERO+PRES+COP+A3SG
göçsüzce göç+NOUN+A3SG+PNON+NOM^DB+ADJ+WITHOUT^DB+ADV+LY
göçsüzdü göç+NOUN+A3SG+PNON+NOM^DB+ADJ+WITHOUT^DB+VERB+ZERO+PAST+A3SG
göçsüzse göç+NOUN+A3SG+PNON+NOM^DB+ADJ+WITHOUT^DB+VERB+ZERO+COND+A3SG
göç göç+NOUN+A3SG+PNON+NOM
göçlük göç+NOUN+A3SG+PNON+NOM^DB+ADJ+FITFOR
göçüm göç+NOUN+A3SG+PNON+NOM^DB+VERB+ZERO+PRES+A1SG
göçsün göç+NOUN+A3SG+PNON+NOM^DB+VERB+ZERO+PRES+A2SG
göçüz göç+NOUN+A3SG+PNON+NOM^DB+VERB+ZERO+PRES+A1PL
göçsünüz göç+NOUN+A3SG+PNON+NOM^DB+VERB+ZERO+PRES+A2PL
göçler göç+NOUN+A3SG+PNON+NOM^DB+VERB+ZERO+PRES+A3PL
göçken göç+NOUN+A3SG+PNON+NOM^DB+VERB+ZERO^DB+ADV+WHILE
göçe göç+NOUN+A3SG+PNON+DAT
göçelik göç+NOUN+A3SG+PNON+DAT^DB+ADJ+FITFOR
göçeyim göç+NOUN+A3SG+PNON+DAT^DB+VERB+ZERO+PRES+A1SG
göçesin göç+NOUN+A3SG+PNON+DAT^DB+VERB+ZERO+PRES+A2SG
göçeyiz göç+NOUN+A3SG+PNON+DAT^DB+VERB+ZERO+PRES+A1PL
göçeler göç+NOUN+A3SG+PNON+DAT^DB+VERB+ZERO+PRES+A3PL
göçeyken göç+NOUN+A3SG+PNON+DAT^DB+VERB+ZERO^DB+ADV+WHILE
göçte göç+NOUN+A3SG+PNON+LOC
göçtelik göç+NOUN+A3SG+PNON+LOC^DB+ADJ+FITFOR
göçteyim göç+NOUN+A3SG+PNON+LOC^DB+VERB+ZERO+PRES+A1SG
göçtesin göç+NOUN+A3SG+PNON+LOC^DB+VERB+ZERO+PRES+A2SG
göçteyiz göç+NOUN+A3SG+PNON+LOC^DB+VERB+ZERO+PRES+A1PL
göçteler göç+NOUN+A3SG+PNON+LOC^DB+VERB+ZERO+PRES+A3PL
göçten göç+NOUN+A3SG+PNON+ABL
göçtenim göç+NOUN+A3SG+PNON+ABL^DB+VERB+ZERO+PRES+A1SG
göçteniz göç+NOUN+A3SG+PNON+ABL^DB+VERB+ZERO+PRES+A1PL
göçün göç+NOUN+A3SG+PNON+GEN
göçünlük göç+NOUN+A3SG+PNON+GEN^DB+ADJ+FITFOR
göçünüm göç+NOUN+A3SG+PNON+GEN^DB+VERB+ZERO+PRES+A1SG
göçünsün göç+NOUN+A3SG+PNON+GEN^DB+VERB+ZERO+PRES+A2SG
göçünüz göç+NOUN+A3SG+PNON+GEN^DB+VERB+ZERO+PRES+A1PL
göçünler göç+NOUN+A3SG+PNON+GEN^DB+VERB+ZERO+PRES+A3PL
göçünken göç+NOUN+A3SG+PNON+GEN^DB+VERB+ZERO^DB+ADV+WHILE
göçle göç+NOUN+A3SG+PNON+INS
göçlelik göç+NOUN+A3SG+PNON+INS^DB+ADJ+FITFOR
göçleyim göç+NOUN+A3SG+PNON+INS^DB+VERB+ZERO+PRES+A1SG
göçlesin göç+NOUN+A3SG+PNON+INS^DB+VERB+ZERO+PRES+A2SG
göçleyiz göç+NOUN+A3SG+PNON+INS^DB+VERB+ZERO+PRES+A1PL
göçleler göç+NOUN+A3SG+PNON+INS^DB+VERB+ZERO+PRES+A3PL
göçüm göç+NOUN+A3SG+P1SG+NOM
göçümlük göç+NOUN+A3SG+P1SG+NOM^DB+ADJ+FITFOR
göçümüm göç+NOUN+A3SG+P1SG+NOM^DB+VERB+ZERO+PRES+A1SG
göçümsün göç+NOUN+A3SG+P1SG+NOM^DB+VERB+ZERO+PRES+A2SG
göçümler göç+NOUN+A3SG+P1SG+NOM^DB+VERB+ZERO+PRES+A3PL
göçümken göç+NOUN+A3SG+P1SG+NOM^DB+VERB+ZERO^DB+ADV+WHILE
göçüme göç+NOUN+A3SG+P1SG+DAT
göçümde göç+NOUN+A3SG+P1SG+LOC
göçümden göç+NOUN+A3SG+P1SG+ABL
göçümün göç+NOUN+A3SG+P1SG+GEN
göçümle göç+NOUN+A3SG+P1SG+INS
göçün göç+NOUN+A3SG+P2SG+NOM
göçünlük göç+NOUN+A3SG+P2SG+NOM^DB+ADJ+FITFOR
göçünüm göç+NOUN+A3SG+P2SG+NOM^DB+VERB+ZERO+PRES+A1SG
göçünsün göç+NOUN+A3SG+P2SG+NOM^DB+VERB+ZERO+PRES+A2SG
göçünler göç+NOUN+A3SG+P2SG+NOM^DB+VERB+ZERO+PRES+A3PL
göçünken göç+NOUN+A3SG+P2SG+NOM^DB+VERB+ZERO^DB+ADV+WHILE
göçüne göç+NOUN+A3SG+P2SG+DAT
göçünde göç+NOUN+A3SG+P2SG+LOC
göçünden göç+NOUN+A3SG+P2SG+ABL
göçünün göç+NOUN+A3SG+P2SG+GEN
göçünle göç+NOUN+A3SG+P2SG+INS
göçümüz göç+NOUN+A3SG+P1PL+NOM
göçümüze göç+NOUN+A3SG+P1PL+DAT
göçünüz göç+NOUN+A3SG+P2PL+NOM
göçünüze göç+NOUN+A3SG+P2PL+DAT
göçü göç+NOUN+A3SG+P3SG+NOM
göçülük göç+NOUN+A3SG+P3SG+NOM^DB+ADJ+FITFOR
göçüyüm göç+NOUN+A3SG+P3SG+NOM^DB+VERB+ZERO+PRES+A1SG
göçüsün göç+NOUN+A3SG+P3SG+NOM^DB+VERB+ZERO+PRES+A2SG
göçüyüz göç+NOUN+A3SG+P3SG+NOM^DB+VERB+ZERO+PRES+A1PL
göçüler göç+NOUN+A3SG+P3SG+NOM^DB+VERB+ZERO+PRES+A3PL
göçüyken göç+NOUN+A3SG+P3SG+NOM^DB+VERB+ZERO^DB+ADV+WHILE
göçüne göç+NOUN+A3SG+P3SG+DAT
göçü'ne göç+NOUN+A3SG+P3SG+DAT
göçünde göç+NOUN+A3SG+P3SG+LOC
göçü'nde göç+NOUN+A3SG+P3SG+LOC
göçünden göç+NOUN+A3SG+P3SG+ABL
göçünün göç+NOUN+A3SG+P3SG+GEN
göçü'nün göç+NOUN+A3SG+P3SG+GEN
göçüyle göç+NOUN+A3SG+P3SG+INS
göçü'yle göç+NOUN+A3SG+P3SG+INS
göçler göç+NOUN+A3PL+PNON+NOM
göçleriz göç+NOUN+A3PL+PNON+NOM^DB+VERB+ZERO+PRES+A1PL
göçlere göç+NOUN+A3PL+PNON+DAT
göçlerde göç+NOUN+A3PL+PNON+LOC
göçlerin göç+NOUN+A3PL+PNON+GEN
göçlerle göç+NOUN+A3PL+PNON+INS
göçlerim göç+NOUN+A3PL+P1SG+NOM
göçlerin göç+NOUN+A3PL+P2SG+NOM
göçleri göç+NOUN+A3PL+P3SG+NOM
göçmezce göç+VERB+NEG+AOR^DB+ADJ+ZERO^DB+ADV+LY
göçmezdi göç+VERB+NEG+AOR+PAST+A3SG
göçmezse göç+VERB+NEG+AOR+COND+A3SG
göçmersi göç+VERB+NEG+AOR^DB+ADJ+ZERO^DB+ADJ+JUSTLIKE
göçmerce göç+VERB+NEG+AOR^DB+ADJ+ZERO^DB+ADJ+ASIF
göçmedik göç+VERB+NEG^DB+ADJ+PASTPART+PNON
göçmüyor göç+VERB+NEG+PROG1+A3SG
göçmemiş göç+VERB+NEG+NARR+A3SG
göçmer göç+VERB+NEG+AOR+A3SG
göçmeer göç+VERB+NEG+AOR+A3SG
göçmeye göç+VERB+NEG+OPT+A3SG
göçme göç+VERB+NEG+IMP+A2SG
göçmesin göç+VERB+NEG+IMP+A3SG
göçmeyin göç+VERB+NEG+IMP+A2PL
göçmedi göç+VERB+NEG+PAST+A3SG
göçmedim göç+VERB+NEG+PAST+A1SG
göçmedin göç+VERB+NEG+PAST+A2SG
göçmedik göç+VERB+NEG+PAST+A1PL
göçmese göç+VERB+NEG+DESR+A3SG
göçmesem göç+VERB+NEG+DESR+A1SG
göçmesen göç+VERB+NEG+DESR+A2SG
göçmesek göç+VERB+NEG+DESR+A1PL
göçmese göç+VERB+NEG+COND+A3SG
göçmesem göç+VERB+NEG+COND+A1SG
göçmesen göç+VERB+NEG+COND+A2SG
göçmesek göç+VERB+NEG+COND+A1PL
göçemer göç+VERB^DB+VERB+ABLE+NEG+AOR+A3SG
göçemeer göç+VERB^DB+VERB+ABLE+NEG+AOR+A3SG
göçemeye göç+VERB^DB+VERB+ABLE+NEG+OPT+A3SG
göçeme göç+VERB^DB+VERB+ABLE+NEG+IMP+A2SG
göçemedi göç+VERB^DB+VERB+ABLE+NEG+PAST+A3SG
göçemese göç+VERB^DB+VERB+ABLE+NEG+DESR+A3SG
göçemese göç+VERB^DB+VERB+ABLE+NEG+COND+A3SG
göçerek göç+VERB+POS^DB+ADV+BYDOINGSO
göçünce göç+VERB+POS^DB+ADV+WHEN
göçmedir göç+VERB+POS^DB+NOUN+INF2+A3SG+PNON+NOM^DB+ADV+SINCE
göçmesi göç+VERB+POS^DB+NOUN+INF2^DB+ADJ+ALMOST
göçmeci göç+VERB+POS^DB+NOUN+INF2+A3SG+PNON+NOM^DB+ADJ+AGT
göçüştür göç+VERB+POS^DB+NOUN+INF3+A3SG+PNON+NOM^DB+ADV+SINCE
göçüşsü göç+VERB+POS^DB+NOUN+INF3^DB+ADJ+ALMOST
göçüşçü göç+VERB+POS^DB+NOUN+INF3+A3SG+PNON+NOM^DB+ADJ+AGT
göçesisi göç+VERB+POS^DB+ADJ+FEELLIKE^DB+ADJ+JUSTLIKE
göçesice göç+VERB+POS^DB+ADJ+FEELLIKE^DB+ADJ+ASIF
göçersi göç+VERB+POS+AOR^DB+ADJ+ZERO^DB+ADJ+JUSTLIKE
göçerce göç+VERB+POS+AOR^DB+ADJ+ZERO^DB+ADJ+ASIF
göçürsü göç+VERB+POS+AOR^DB+ADJ+ZERO^DB+ADJ+JUSTLIKE
göçürce göç+VERB+POS+AOR^DB+ADJ+ZERO^DB+ADJ+ASIF
göçmüşsü göç+VERB+POS+NARR^DB+ADJ+ZERO^DB+ADJ+JUSTLIKE
göçmüşçe göç+VERB+POS+NARR^DB+ADJ+ZERO^DB+ADJ+ASIF
göçücüsü göç+VERB+POS^DB+ADJ+AGT^DB+ADJ+JUSTLIKE
göçücüce göç+VERB+POS^DB+ADJ+AGT^DB+ADJ+ASIF
göçensi göç+VERB+POS^DB+ADJ+PRESPART^DB+ADJ+JUSTLIKE
göçence göç+VERB+POS^DB+ADJ+PRESPART^DB+ADJ+ASIF
göçenken göç+VERB+POS^DB+ADJ+PRESPART^DB+VERB+ZERO^DB+ADV+WHILE
göçtük göç+VERB+POS^DB+ADJ+PASTPART+PNON
göçtüğüm göç+VERB+POS^DB+ADJ+PASTPART+P1SG
göçtüğün göç+VERB+POS^DB+ADJ+PASTPART+P2SG
göçtüğü göç+VERB+POS^DB+ADJ+PASTPART+P3SG
göçecek göç+VERB+POS^DB+ADJ+FUTPART+PNON
göçeceği göç+VERB+POS^DB+ADJ+FUTPART+P3SG
göçecek göç+VERB+POS+FUT+A3SG
göçüyor göç+VERB+POS+PROG1+A3SG
göçmekte göç+VERB+POS+PROG2+A3SG
göçmeli göç+VERB+POS+NECES+A3SG
göçmüş göç+VERB+POS+NARR+A3SG
göçür göç+VERB+POS+AOR+A3SG
göçer göç+VERB+POS+AOR+A3SG
göçe göç+VERB+POS+OPT+A3SG
göçeyim göç+VERB+POS+OPT+A1SG
göçesin göç+VERB+POS+OPT+A2SG
göçelim göç+VERB+POS+OPT+A1PL
göçeler göç+VERB+POS+OPT+A3PL
göç göç+VERB+POS+IMP+A2SG
göçsün göç+VERB+POS+IMP+A3SG
göçünüz göç+VERB+POS+IMP+POL+A2PL
göçün göç+VERB+POS+IMP+A2PL
göçtü göç+VERB+POS+PAST+A3SG
göçtüm göç+VERB+POS+PAST+A1SG
göçtün göç+VERB+POS+PAST+A2SG
göçtük göç+VERB+POS+PAST+A1PL
göçtünüz göç+VERB+POS+PAST+A2PL
göçtüler göç+VERB+POS+PAST+A3PL
göçse göç+VERB+POS+DESR+A3SG
göçsem göç+VERB+POS+DESR+A1SG
göçsen göç+VERB+POS+DESR+A2SG
göçsek göç+VERB+POS+DESR+A1PL
göçseniz göç+VERB+POS+DESR+A2PL
göçseler göç+VERB+POS+DESR+A3PL
göçse göç+VERB+POS+COND+A3SG
göçsem göç+VERB+POS+COND+A1SG
göçsen göç+VERB+POS+COND+A2SG
göçsek göç+VERB+POS+COND+A1PL
göçseniz göç+VERB+POS+COND+A2PL
göçseler göç+VERB+POS+COND+A3PL
göçücülü göç+VERB+POS^DB+NOUN+AGT+A3SG+PNON+NOM^DB+ADJ+WITH
göçedura göç+VERB+POS^DB+VERB+REPEAT+OPT+A3SG
göçedur göç+VERB+POS^DB+VERB+REPEAT+IMP+A2SG
göçüvere göç+VERB+POS^DB+VERB+HASTILY+OPT+A3SG
göçüver göç+VERB+POS^DB+VERB+HASTILY+IMP+A2SG
göçegele göç+VERB+POS^DB+VERB+EVERSINCE+OPT+A3SG
göçegel göç+VERB+POS^DB+VERB+EVERSINCE+IMP+A2SG
göçegora göç+VERB+POS^DB+VERB+REPEAT+OPT+A3SG
göçegor göç+VERB+POS^DB+VERB+REPEAT+IMP+A2SG
göçebile göç+VERB+POS^DB+VERB+ABLE+OPT+A3SG
göçebil göç+VERB+POS^DB+VERB+ABLE+IMP+A2SG
göçeyaza göç+VERB+POS^DB+VERB+ALMOST+OPT+A3SG
göçeyaz göç+VERB+POS^DB+VERB+ALMOST+IMP+A2SG
göçekala göç+VERB+POS^DB+VERB+STAY+OPT+A3SG
göçekal göç+VERB+POS^DB+VERB+STAY+IMP+A2SG
göçekoya göç+VERB+POS^DB+VERB+START+OPT+A3SG
göçekoy göç+VERB+POS^DB+VERB+START+IMP+A2SG
göçürmer göç+VERB^DB+VERB+CAUS+NEG+AOR^DB+ADJ+ZERO
göçürüp göç+VERB^DB+VERB+CAUS+POS^DB+ADV+AFTERDOINGSO
göçüreli göç+VERB^DB+VERB+CAUS+POS^DB+ADV+SINCEDOINGSO
göçüresi göç+VERB^DB+VERB+CAUS+POS^DB+ADJ+FEELLIKE
göçürer göç+VERB^DB+VERB+CAUS+POS+AOR^DB+ADJ+ZERO
göçürür göç+VERB^DB+VERB+CAUS+POS+AOR^DB+ADJ+ZERO
göçürmüş göç+VERB^DB+VERB+CAUS+POS+NARR^DB+ADJ+ZERO
göçürücü göç+VERB^DB+VERB+CAUS+POS^DB+ADJ+AGT
göçüren göç+VERB^DB+VERB+CAUS+POS^DB+ADJ+PRESPART
göçülmer göç+VERB^DB+VERB+PASS+NEG+AOR^DB+ADJ+ZERO
göçülüp göç+VERB^DB+VERB+PASS+POS^DB+ADV+AFTERDOINGSO
göçüleli göç+VERB^DB+VERB+PASS+POS^DB+ADV+SINCEDOINGSO
göçülesi göç+VERB^DB+VERB+PASS+POS^DB+ADJ+FEELLIKE
göçülür göç+VERB^DB+VERB+PASS+POS+AOR^DB+ADJ+ZERO
göçülmüş göç+VERB^DB+VERB+PASS+POS+NARR^DB+ADJ+ZERO
göçülücü göç+VERB^DB+VERB+PASS+POS^DB+ADJ+AGT
göçülen göç+VERB^DB+VERB+PASS+POS^DB+ADJ+PRESPART
göççük göç+NOUN+A3SG+PNON+NOM^DB+NOUN+DIM+A3SG+PNON+NOM
göççüğüm göç+NOUN+A3SG+PNON+NOM^DB+NOUN+DIM+A3SG+PNON+NOM^DB+VERB+ZERO+PRES+A1SG
göççüğüz göç+NOUN+A3SG+PNON+NOM^DB+NOUN+DIM+A3SG+PNON+NOM^DB+VERB+ZERO+PRES+A1PL
göççüğe göç+NOUN+A3SG+PNON+NOM^DB+NOUN+DIM+A3SG+PNON+DAT
göççükte göç+NOUN+A3SG+PNON+NOM^DB+NOUN+DIM+A3SG+PNON+LOC
göççüğün göç+NOUN+A3SG+PNON+NOM^DB+NOUN+DIM+A3SG+PNON+GEN
göççükle göç+NOUN+A3SG+PNON+NOM^DB+NOUN+DIM+A3SG+PNON+INS
göççüğüm göç+NOUN+A3SG+PNON+NOM^DB+NOUN+DIM+A3SG+P1SG+NOM
göççüğün göç+NOUN+A3SG+PNON+NOM^DB+NOUN+DIM+A3SG+P2SG+NOM
göççüğü göç+NOUN+A3SG+PNON+NOM^DB+NOUN+DIM+A3SG+P3SG+NOM
göçleşip göç+NOUN+A3SG+PNON+NOM^DB+VERB+BECOME+POS^DB+ADV+AFTERDOINGSO
göçleşer göç+NOUN+A3SG+PNON+NOM^DB+VERB+BECOME+POS+AOR^DB+ADJ+ZERO
göçleşir göç+NOUN+A3SG+PNON+NOM^DB+VERB+BECOME+POS+AOR^DB+ADJ+ZERO
göçleşen göç+NOUN+A3SG+PNON+NOM^DB+VERB+BECOME+POS^DB+ADJ+PRESPART
göçlenip göç+NOUN+A3SG+PNON+NOM^DB+VERB+ACQUIRE+POS^DB+ADV+AFTERDOINGSO
göçlener göç+NOUN+A3SG+PNON+NOM^DB+VERB+ACQUIRE+POS+AOR^DB+ADJ+ZERO
göçlenir göç+NOUN+A3SG+PNON+NOM^DB+VERB+ACQUIRE+POS+AOR^DB+ADJ+ZERO
göçlenen göç+NOUN+A3SG+PNON+NOM^DB+VERB+ACQUIRE+POS^DB+ADJ+PRESPART
göçümdür göç+NOUN+A3SG+PNON+NOM^DB+VERB+ZERO+PRES+A1SG+COP
göçüzdür göç+NOUN+A3SG+PNON+NOM^DB+VERB+ZERO+PRES+A1PL+COP
göçtü göç+NOUN+A3SG+PNON+NOM^DB+VERB+ZERO+PAST+A3SG
göçtüm göç+NOUN+A3SG+PNON+NOM^DB+VERB+ZERO+PAST+A1SG
göçtün göç+NOUN+A3SG+PNON+NOM^DB+VERB+ZERO+PAST+A2SG
göçtük göç+NOUN+A3SG+PNON+NOM^DB+VERB+ZERO+PAST+A1PL
göçtünüz göç+NOUN+A3SG+PNON+NOM^DB+VERB+ZERO+PAST+A2PL
göçtüler göç+NOUN+A3SG+PNON+NOM^DB+VERB+ZERO+PAST+A3PL
göçse göç+NOUN+A3SG+PNON+NOM^DB+VERB+ZERO+COND+A3SG
göçsem göç+NOUN+A3SG+PNON+NOM^DB+VERB+ZERO+COND+A1SG
göçsen göç+NOUN+A3SG+PNON+NOM^DB+VERB+ZERO+COND+A2SG
göçsek göç+NOUN+A3SG+PNON+NOM^DB+VERB+ZERO+COND+A1PL
göçseniz göç+NOUN+A3SG+PNON+NOM^DB+VERB+ZERO+COND+A2PL
göçseler göç+NOUN+A3SG+PNON+NOM^DB+VERB+ZERO+COND+A3PL
göçeydi göç+NOUN+A3SG+PNON+DAT^DB+VERB+ZERO+PAST+A3SG
göçeydim göç+NOUN+A3SG+PNON+DAT^DB+VERB+ZERO+PAST+A1SG
göçeydin göç+NOUN+A3SG+PNON+DAT^DB+VERB+ZERO+PAST+A2SG
göçeydik göç+NOUN+A3SG+PNON+DAT^DB+VERB+ZERO+PAST+A1PL
göçeyse göç+NOUN+A3SG+PNON+DAT^DB+VERB+ZERO+COND+A3SG
göçeysem göç+NOUN+A3SG+PNON+DAT^DB+VERB+ZERO+COND+A1SG
göçeysen göç+NOUN+A3SG+PNON+DAT^DB+VERB+ZERO+COND+A2SG
göçeysek göç+NOUN+A3SG+PNON+DAT^DB+VERB+ZERO+COND+A1PL
göçedir göç+NOUN+A3SG+PNON+DAT^DB+VERB+ZERO+PRES+COP+A3SG
göçteydi göç+NOUN+A3SG+PNON+LOC^DB+VERB+ZERO+PAST+A3SG
göçteyse göç+NOUN+A3SG+PNON+LOC^DB+VERB+ZERO+COND+A3SG
göçtedir göç+NOUN+A3SG+PNON+LOC^DB+VERB+ZERO+PRES+COP+A3SG
göçtendi göç+NOUN+A3SG+PNON+ABL^DB+VERB+ZERO+PAST+A3SG
göçtense göç+NOUN+A3SG+PNON+ABL^DB+VERB+ZERO+COND+A3SG
göçündü göç+NOUN+A3SG+PNON+GEN^DB+VERB+ZERO+PAST+A3SG
göçündüm göç+NOUN+A3SG+PNON+GEN^DB+VERB+ZERO+PAST+A1SG
göçündün göç+NOUN+A3SG+PNON+GEN^DB+VERB+ZERO+PAST+A2SG
göçündük göç+NOUN+A3SG+PNON+GEN^DB+VERB+ZERO+PAST+A1PL
göçünse göç+NOUN+A3SG+PNON+GEN^DB+VERB+ZERO+COND+A3SG
göçünsem göç+NOUN+A3SG+PNON+GEN^DB+VERB+ZERO+COND+A1SG
göçünsen göç+NOUN+A3SG+PNON+GEN^DB+VERB+ZERO+COND+A2SG
