yıldönümümü yıldönüm+NOUN+A3SG+P1SG+ACC
yıldönümündük yıldönüm+NOUN+A3SG+P2SG+NOM^DB+VERB+ZERO+PAST+A1PL
yıldönümünse yıldönüm+NOUN+A3SG+P2SG+NOM^DB+VERB+ZERO+COND+A3SG
yıldönümünsem yıldönüm+NOUN+A3SG+P2SG+NOM^DB+VERB+ZERO+COND+A1SG
yıldönümünsen yıldönüm+NOUN+A3SG+P2SG+NOM^DB+VERB+ZERO+COND+A2SG
yıldönümünsek yıldönüm+NOUN+A3SG+P2SG+NOM^DB+VERB+ZERO+COND+A1PL
yıldönümündür yıldönüm+NOUN+A3SG+P2SG+NOM^DB+VERB+ZERO+PRES+COP+A3SG
yıldönümüneydi yıldönüm+NOUN+A3SG+P2SG+DAT^DB+VERB+ZERO+PAST+A3SG
yıldönümüneyse yıldönüm+NOUN+A3SG+P2SG+DAT^DB+VERB+ZERO+COND+A3SG
yıldönümünedir yıldönüm+NOUN+A3SG+P2SG+DAT^DB+VERB+ZERO+PRES+COP+A3SG
yıldönümünündü yıldönüm+NOUN+A3SG+P2SG+GEN^DB+VERB+ZERO+PAST+A3SG
yıldönümününse yıldönüm+NOUN+A3SG+P2SG+GEN^DB+VERB+ZERO+COND+A3SG
yıldönümümüzdü yıldönüm+NOUN+A3SG+P1PL+NOM^DB+VERB+ZERO+PAST+A3SG
yıldönümümüzse yıldönüm+NOUN+A3SG+P1PL+NOM^DB+VERB+ZERO+COND+A3SG
yıldönümünüzdü yıldönüm+NOUN+A3SG+P2PL+NOM^DB+VERB+ZERO+PAST+A3SG
yıldönümünüzse yıldönüm+NOUN+A3SG+P2PL+NOM^DB+VERB+ZERO+COND+A3SG
yıldönümüydü yıldönüm+NOUN+A3SG+P3SG+NOM^DB+VERB+ZERO+PAST+A3SG
yıldönümüydüm yıldönüm+NOUN+A3SG+P3SG+NOM^DB+VERB+ZERO+PAST+A1SG
yıldönümüydün yıldönüm+NOUN+A3SG+P3SG+NOM^DB+VERB+ZERO+PAST+A2SG
yıldönümüydük yıldönüm+NOUN+A3SG+P3SG+NOM^DB+VERB+ZERO+PAST+A1PL
yıldönümüyse yıldönüm+NOUN+A3SG+P3SG+NOM^DB+VERB+ZERO+COND+A3SG
yıldönümüysem yıldönüm+NOUN+A3SG+P3SG+NOM^DB+VERB+ZERO+COND+A1SG
yıldönümüysen yıldönüm+NOUN+A3SG+P3SG+NOM^DB+VERB+ZERO+COND+A2SG
yıldönümüysek yıldönüm+NOUN+A3SG+P3SG+NOM^DB+VERB+ZERO+COND+A1PL
yıldönümüdür yıldönüm+NOUN+A3SG+P3SG+NOM^DB+VERB+ZERO+PRES+COP+A3SG
yıldönümüneydi yıldönüm+NOUN+A3SG+P3SG+DAT^DB+VERB+ZERO+PAST+A3SG
yıldönümüneyse yıldönüm+NOUN+A3SG+P3SG+DAT^DB+VERB+ZERO+COND+A3SG
yıldönümünedir yıldönüm+NOUN+A3SG+P3SG+DAT^DB+VERB+ZERO+PRES+COP+A3SG
yıldönümünündü yıldönüm+NOUN+A3SG+P3SG+GEN^DB+VERB+ZERO+PAST+A3SG
yıldönümününse yıldönüm+NOUN+A3SG+P3SG+GEN^DB+VERB+ZERO+COND+A3SG
yıldönümler yıldönüm+NOUN+A3PL+PNON+NOM
yıldönümlerlik yıldönüm+NOUN+A3PL+PNON+NOM^DB+ADJ+FITFOR
yıldönümlersin yıldönüm+NOUN+A3PL+PNON+NOM^DB+VERB+ZERO+PRES+A2SG
yıldönümleriz yıldönüm+NOUN+A3PL+PNON+NOM^DB+VERB+ZERO+PRES+A1PL
yıldönümlerler yıldönüm+NOUN+A3PL+PNON+NOM^DB+VERB+ZERO+PRES+A3PL
yıldönümlerken yıldönüm+NOUN+A3PL+PNON+NOM^DB+VERB+ZERO^DB+ADV+WHILE
yıldönümlere yıldönüm+NOUN+A3PL+PNON+DAT
yıldönümlerde yıldönüm+NOUN+A3PL+PNON+LOC
yıldönümlerden yıldönüm+NOUN+A3PL+PNON+ABL
yıldönümlerin yıldönüm+NOUN+A3PL+PNON+GEN
yıldönümlerle yıldönüm+NOUN+A3PL+PNON+INS
yıldönümlerim yıldönüm+NOUN+A3PL+P1SG+NOM
yıldönümlerime yıldönüm+NOUN+A3PL+P1SG+DAT
yıldönümlerin yıldönüm+NOUN+A3PL+P2SG+NOM
yıldönümlerine yıldönüm+NOUN+A3PL+P2SG+DAT
yıldönümleri yıldönüm+NOUN+A3PL+P3SG+NOM
yıldönümlerine yıldönüm+NOUN+A3PL+P3SG+DAT
yıldönümümmüş yıldönüm+NOUN+A3SG+P1SG+NOM^DB+VERB+ZERO+NARR+A3SG
yıldönümümdeki yıldönüm+NOUN+A3SG+P1SG+LOC^DB+ADJ+REL
yıldönümümünki yıldönüm+NOUN+A3SG+P1SG+GEN^DB+ADJ+REL
yıldönümünmüş yıldönüm+NOUN+A3SG+P2SG+NOM^DB+VERB+ZERO+NARR+A3SG
yıldönümündeki yıldönüm+NOUN+A3SG+P2SG+LOC^DB+ADJ+REL
yıldönümününki yıldönüm+NOUN+A3SG+P2SG+GEN^DB+ADJ+REL
yıldönümüymüş yıldönüm+NOUN+A3SG+P3SG+NOM^DB+VERB+ZERO+NARR+A3SG
yıldönümündeki yıldönüm+NOUN+A3SG+P3SG+LOC^DB+ADJ+REL
yıldönümününki yıldönüm+NOUN+A3SG+P3SG+GEN^DB+ADJ+REL
yıldönümlerdi yıldönüm+NOUN+A3PL+PNON+NOM^DB+VERB+ZERO+PAST+A3SG
yıldönümlerdim yıldönüm+NOUN+A3PL+PNON+NOM^DB+VERB+ZERO+PAST+A1SG
yıldönümlerdin yıldönüm+NOUN+A3PL+PNON+NOM^DB+VERB+ZERO+PAST+A2SG
yıldönümlerdik yıldönüm+NOUN+A3PL+PNON+NOM^DB+VERB+ZERO+PAST+A1PL
yıldönümlerse yıldönüm+NOUN+A3PL+PNON+NOM^DB+VERB+ZERO+COND+A3SG
yıldönümlersem yıldönüm+NOUN+A3PL+PNON+NOM^DB+VERB+ZERO+COND+A1SG
yıldönümlersen yıldönüm+NOUN+A3PL+PNON+NOM^DB+VERB+ZERO+COND+A2SG
yıldönümlersek yıldönüm+NOUN+A3PL+PNON+NOM^DB+VERB+ZERO+COND+A1PL
yıldönümlerdir yıldönüm+NOUN+A3PL+PNON+NOM^DB+VERB+ZERO+PRES+COP+A3SG
yıldönümlermiş yıldönüm+NOUN+A3PL+PNON+NOM^DB+VERB+ZERO+NARR+A3SG
yıldönümlerlim yıldönüm+NOUN+A3PL+PNON+NOM^DB+ADJ+WITH^DB+NOUN+ZERO+A3SG+P1SG+NOM
yıldönümlerlin yıldönüm+NOUN+A3PL+PNON+NOM^DB+ADJ+WITH^DB+NOUN+ZERO+A3SG+P2SG+NOM
yıldönümümdeki yıldönüm+NOUN+A3SG+P1SG+LOC^DB+ADJ+REL^DB+NOUN+ZERO+A3SG+PNON+NOM
yıldönümümünki yıldönüm+NOUN+A3SG+P1SG+GEN^DB+ADJ+REL^DB+NOUN+ZERO+A3SG+PNON+NOM
yıldönümündeki yıldönüm+NOUN+A3SG+P2SG+LOC^DB+ADJ+REL^DB+NOUN+ZERO+A3SG+PNON+NOM
yıldönümününki yıldönüm+NOUN+A3SG+P2SG+GEN^DB+ADJ+REL^DB+NOUN+ZERO+A3SG+PNON+NOM
yıldönümündeki yıldönüm+NOUN+A3SG+P3SG+LOC^DB+ADJ+REL^DB+NOUN+ZERO+A3SG+PNON+NOM
yıldönümününki yıldönüm+NOUN+A3SG+P3SG+GEN^DB+ADJ+REL^DB+NOUN+ZERO+A3SG+PNON+NOM
